,name,price,rating,dis_ends,dis_start,release,discount
169,Buddy and Lucky Solitaire,4.77 SR,79.83%,in 3 days,4 days ago,5 months ago,-40%
170,"NEKOKORO
lowest price is 1.43 SR at -88%",2.99 SR,79.76%,in 14 days,4 hours ago,3 years ago,-90%
171,"Mech Armada
new historical low",23.96 SR,79.74%,in 14 days,4 hours ago,4 months ago,-20%
172,Inertia,1.37 SR,79.73%,in 12 days,9 days ago,4 years ago,-50%
173,My Harem,1.37 SR,79.71%,,,,-50%
174,"Seek Girl Ⅱ
lowest price is 1.37 SR at -50%",1.65 SR,79.35%,,,,-40%
175,"Lost
lowest price is 3.41 SR at -35%",4.20 SR,79.24%,,,,-20%
176,Neofeud,8.98 SR,79.07%,,,,-70%
177,"Courage for a Kiss
lowest price is 2.19 SR at -90%",3.49 SR,79.04%,,,,-90%
178,"No Plan B
new historical low",26.95 SR,78.99%,in 5 days,2 days ago,3 days ago,-10%
179,Evil Tonight,26.95 SR,78.93%,in 13 days,yesterday,2 months ago,-10%
180,"Brukel
lowest price is 1.43 SR at -88%",2.39 SR,78.78%,in 2 days,12 days ago,2 years ago,-80%
181,UBERMOSH:BLACK,1.37 SR,78.77%,in 2 days,25 days ago,6 years ago,-50%
182,"Mini Words: Polyglot
lowest price is 2.62 SR at -50%",3.67 SR,78.74%,in 3 days,4 days ago,9 months ago,-30%
183,"Boiling Steel
lowest price is 8.98 SR at -70%",11.98 SR,78.70%,in 13 days,yesterday,2 years ago,-60%
184,Root Letter Last Answer,6.57 SR,78.68%,in 14 days,2 hours ago,2 years ago,-86%
185,Chupa Chupa VR,19.16 SR,78.65%,in 11 days,9 days ago,16 months ago,-20%
186,My 1/6 Lover,2.10 SR,78.57%,in 13 days,yesterday,3 years ago,-60%
187,Seek Girl,1.65 SR,78.44%,in 14 days,14 hours ago,3 years ago,-40%
188,异变战区 E.E.R.I.E,14.97 SR,78.40%,in 14 days,4 hours ago,6 months ago,-50%
189,Blue Fire,17.47 SR,78.33%,in 13 days,yesterday,10 months ago,-50%
190,球球少女/Pinball Girls,6.46 SR,78.31%,in 12 days,9 days ago,10 months ago,-35%
191,"Demon heart
lowest price is 2.39 SR at -80%",4.18 SR,78.30%,in 7 days,7 days ago,12 months ago,-65%
192,"Potato Party: Hash It Out
lowest price is 13.46 SR at -25%",17.56 SR,78.30%,in 6 days,8 days ago,9 days ago,-20%
193,Rebirth:Mr Wang,7.46 SR,78.22%,in 14 days,14 hours ago,14 months ago,-25%
